model_name,elapsed_time,accuracy,precision,recall,f1_score
deepseek-r1:1.5b,23.66,0.0,0.0,0.0,0.0
deepseek-r1:7b,24.43,0.48484848484848486,0.355,0.48484848484848486,0.3791423001949317
deepseek-r1:8b,23.74,0.3939393939393939,0.36904761904761907,0.2954545454545454,0.26339285714285715
deepseek-r1:14b,52.7,0.42424242424242425,0.36,0.3181818181818182,0.25992063492063494
deepseek-r1:32b,481.57,0.696969696969697,0.6331168831168832,0.5227272727272727,0.5378787878787878
llama3:8b,22.25,0.45454545454545453,0.3267857142857143,0.34090909090909094,0.3118279569892473
llama3.1:8b,24.39,0.6363636363636364,0.5758547008547008,0.4772727272727273,0.4188218390804598
llama3.2:1b,13.52,0.3333333333333333,0.22282608695652173,0.25,0.19901960784313727
llama3.2:3b,15.82,0.6060606060606061,0.5637019230769231,0.4545454545454546,0.43108974358974356
phi3:3.8b,15.71,0.42424242424242425,0.41428571428571426,0.3181818181818182,0.3571428571428571
phi3:14b,36.49,0.6060606060606061,0.31176470588235294,0.4545454545454546,0.3695054945054945
phi4,39.68,0.6666666666666666,0.6045454545454545,0.5,0.5109557109557109
qwen2:0.5b,10.98,0.36363636363636365,0.27777777777777773,0.3636363636363636,0.2755417956656347
qwen2:1.5b,15.18,0.36363636363636365,0.2849462365591398,0.3636363636363636,0.2258852258852259
qwen2:7b,22.12,0.7272727272727273,0.85,0.7272727272727272,0.7311125166912644
qwen2.5:0.5b,12.88,0.0,0.0,0.0,0.0
qwen2.5:1.5b,13.28,0.48484848484848486,0.33730158730158727,0.48484848484848486,0.3903985507246377
qwen2.5:3b,17.68,0.5151515151515151,0.3347222222222222,0.38636363636363635,0.3451612903225807
qwen2.5:7b,24.35,0.6666666666666666,0.671875,0.5,0.5056267806267807
qwen2.5:14b,36.35,0.6363636363636364,0.6097222222222223,0.4772727272727273,0.4543424317617866
gemma:2b,16.61,0.3333333333333333,0.11458333333333333,0.3333333333333333,0.17054263565891473
gemma:7b,28.35,0.45454545454545453,0.24404761904761904,0.3409090909090909,0.27529761904761907
gemma2:2b,17.99,0.45454545454545453,0.3447368421052632,0.34090909090909094,0.30833333333333335
gemma2:9b,33.03,0.6666666666666666,0.7601809954751131,0.6666666666666666,0.630952380952381
mistral,26.11,0.6060606060606061,0.325,0.4545454545454546,0.3730715287517532
